City,State,Metro,County Name,Price,Earthquake Grants,Fire Grants,Flood Grants,Hurricane Grants,Mud/Landslide Grants,Other Grants,Severe Storm Grants,Tornado Grants,Earthquake Events,Fire Events,Flood Events,Hurricane Events,Mud/Landslide Events,Other Events,Severe Storm Events,Tornado Events
Hayes,VA,Virginia Beach,Gloucester,265000.0,,,,6795253.96,,,1628287.76,,,,,135.0,,,56.0,
Old Lyme,CT,New London,New London,439000.0,,,,4938343.13,,,6892120.82,,,,,126.0,,,77.0,
Burtonsville,MD,Washington,Montgomery,320000.0,,197137.33,17200351.36,29119687.45,,,12201556.48,,,8.0,177.0,304.0,,,161.0,
Green Brook,NJ,New York,Somerset,315000.0,,,5376184.95,163467176.2,,,35018392.13,,,,27.0,883.0,,,462.0,
Highland City,FL,Lakeland,Polk,233000.0,,,6482.44,5648953.47,,,21557356.27,3678183.99,,,8.0,50.0,,,291.0,9.0
Smithfield,RI,Providence,Providence,329900.0,,,,,,,22308450.68,,,,,,,,126.0,
Saint Clair,MO,St. Louis,Franklin,137000.0,,,1721692.51,1963389.54,,,11715365.26,,,,19.0,65.0,,,168.0,
 Islip,NY,New York,Suffolk,449000.0,,,,457517483.1,,,4759863.64,,,,,752.0,,,120.0,
 Malone,NY,Malone,Franklin,80949.5,,,1721692.51,1963389.54,,,11715365.26,,,,19.0,65.0,,,168.0,
Jupiter,FL,Miami-Fort Lauderdale,Palm Beach,679995.0,,,,765031.06,,,1877775.71,,,,,34.0,,,42.0,
Dadeville,AL,,Tallapoosa,389450.0,,,,,,,943245.83,,,,,,,,19.0,
 Plattekill,NY,Kingston,Ulster,245500.0,1009418.48,5351166.91,5900087.86,192921831.9,,,1828589.91,,22.0,81.0,30.0,517.0,,,165.0,
Brandenburg,KY,Elizabethtown,Meade,185450.0,,,,,,,231352.23,,,,,,,,7.0,
Poteau,OK,Fort Smith,LeFlore,125950.0,,,,,,,371947.28,339996.8,,,,,,,17.0,10.0
Hamilton,OH,Cincinnati,Butler,69900.0,,,,,,,25833103.82,,,,,,,,82.0,
 Waterford,NY,Albany,Saratoga,244000.0,,,,2085324.05,,,,,,,,39.0,,,,
Manteno,IL,Kankakee,Kankakee,239500.0,,,6260751.75,,,,1793859.0,165896.74,,,75.0,,,,62.0,32.0
Arvada,CO,Denver,Jefferson,529000.0,,,11159830.25,57240310.63,,,68571322.18,,,,115.0,141.0,,,604.0,
Tracy,CA,Stockton,San Joaquin,648419.0,,,,,,,,,,,,,,,,
Stony Brook,NY,New York,Suffolk,479000.0,,,,457517483.1,,,4759863.64,,,,,752.0,,,120.0,
Mineral,VA,,Louisa,297000.0,18282852.96,,,,,,14693682.03,,77.0,,,,,,40.0,
Tucson,AZ,Tucson,Pima,109900.0,,,,,,,,,,,,,,,,
Milan,MI,Ann Arbor,Washtenaw,199900.0,,,402440.53,773601.7,,,11701587.59,,,,47.0,43.0,,,177.0,
Iuka,MS,,Tishomingo,160000.0,,,,,,,243591.43,,,,,,,,16.0,
Belpre,OH,Marietta,Washington,134900.0,,,7217070.8,22131919.88,,,25202378.25,240346.92,,,39.0,172.0,,,356.0,6.0
Ridley Park,PA,Philadelphia,Delaware,182900.0,,,807646.45,8015365.48,,,9391123.92,,,,64.0,194.0,,,94.0,
Oak Hill,WV,Beckley,Fayette,89900.0,,88463.22,2444038.62,,,,8887451.31,38150.78,,5.0,106.0,,,,429.0,4.0
Medford,WI,,Taylor,142500.0,,,,610549.18,,,1296337.91,,,,,6.0,,,66.0,
Clifton,VA,Washington,Fairfax,874950.0,,,,,,,,,,,,,,,,
Madras,OR,,Jefferson,219990.0,,,11159830.25,57240310.63,,,68571322.18,,,,115.0,141.0,,,604.0,
Aransas Pass,TX,Corpus Christi,San Patricio,189000.0,,,,,,,2701707.41,,,,,,,,38.0,
Warren,RI,Providence,Bristol,349900.0,,,,,,,20190900.93,,,,,,,,138.0,
Fairless Hills,PA,Philadelphia,Bucks,269900.0,,,1829291.46,4099379.57,,,,,,,63.0,105.0,,,,
Camden,TN,,Benton,119450.0,,,84272.11,941286.35,,,19955191.79,,,,7.0,38.0,,,284.0,
Metropolis,IL,Paducah,Massac,79900.0,,,,,,,4200630.52,3244560.4,,,,,,,26.0,7.0
Quincy,WA,Moses Lake,Grant,250000.0,,,217754.22,,,,15745202.55,377283.15,,,23.0,,,,213.0,10.0
Nesconset,NY,New York,Suffolk,479999.0,,,,457517483.1,,,4759863.64,,,,,752.0,,,120.0,
Portsmouth,VA,Virginia Beach,Portsmouth City,134950.0,,,,,,,,,,,,,,,,
Southaven,MS,Memphis,DeSoto,240000.0,,,80040.67,,,,149018.66,,,,10.0,,,,12.0,
Winsted,CT,Torrington,Litchfield,219900.0,,,,776608.77,,,,,,,,54.0,,,,
Hailey,ID,Hailey,Blaine,455000.0,,,,,,,185527.97,,,,,,,,12.0,
Liberty Lake,WA,Spokane,Spokane,340950.0,,,,,,,,,,,,,,,,
New Market,MD,Washington,Frederick,415000.0,59100.0,,,,,,,,1.0,,,,,,,
Pascagoula,MS,Gulfport,Jackson,89250.0,,,132198.46,8466487.89,,,10366164.45,,,,22.0,44.0,,,216.0,
Wood River,IL,St. Louis,Madison,72900.0,,,117981.76,158602.07,,,24847361.56,,,,5.0,7.0,,,269.0,
Shreveport,LA,Shreveport,Caddo,159089.0,,,2819353.69,,,,,,,,33.0,,,,,
Harbor Springs,MI,,Emmet,275000.0,,,,,,,,,,,,,,,,
Hurst,TX,Dallas-Fort Worth,Tarrant,299900.0,,,,,,,,,,,,,,,,
Burkburnett,TX,Wichita Falls,Wichita,124900.0,,,,,,,260736.08,,,,,,,,11.0,
Elkview,WV,Charleston,Kanawha,139000.0,,,30195391.4,,,,1759024.77,,,,138.0,,,,137.0,
Naples,FL,Naples,Collier,339950.0,,,,,,,84609.46,,,,,,,,19.0,
Lincoln,MI,Niles,Berrien,284900.0,,,,,,,89062.77,,,,,,,,6.0,
 Goshen,NY,New York,Orange,369900.0,1009418.48,5351166.91,5900087.86,178470717.7,,,1475602.49,,22.0,81.0,30.0,315.0,,,121.0,
Farmington,NY,Rochester,Ontario,219990.0,,,,,,,,,,,,,,,,
Suncook,NH,Concord,Merrimack,232400.0,,,,,,,,,,,,,,,,
 Spencer,MA,Worcester,Worcester,229900.0,,,,,,,1446700.0,1035000.0,,,,,,,41.0,5.0
Lyman,SC,Spartanburg,Spartanburg,197990.0,,,198977.1,,,,,,,,25.0,,,,,
Moody,AL,Birmingham,Saint Clair,173000.0,,,,,,,4410164.54,,,,,,,,38.0,
Marblehead,OH,Port Clinton,Ottawa,236000.0,,,,,,,2379098.17,,,,,,,,18.0,
Charleston,SC,Charleston,Charleston,995000.0,,,6233446.64,1635264.41,,,,,,,75.0,57.0,,,,
Atlanta,TX,,Cass,130000.0,,282161.19,399085.51,,,,5861476.19,,,9.0,4.0,,,,82.0,
Barbourville,KY,London,Knox,134900.0,,,11599838.83,,,,18114153.7,,,,94.0,,,,252.0,
Hitchcock,TX,Houston,Galveston,267000.0,,,,347395527.3,,,56058.23,,,,,288.0,,,14.0,
Carolina Beach,NC,Wilmington,New Hanover,323445.0,,,,166779.76,,,205757.75,,,,,17.0,,,13.0,
Inverness,FL,Homosassa Springs,Citrus,145000.0,,,,2037433.73,,,488281.97,,,,,22.0,,,22.0,
Tunkhannock,PA,Scranton,Wyoming,167257.0,,,39042661.63,2093472.04,,,5386257.91,,,,230.0,83.0,,,166.0,
Hayesville,NC,,Clay,267450.0,,,9323212.22,,,,12204897.62,,,,54.0,,,,154.0,
Beavercreek,OH,Dayton,Greene,259900.0,,,751781.58,12122887.37,,,10381236.1,,,,28.0,120.0,,,179.0,
Levittown,PA,Philadelphia,Bucks,209900.0,,,1829291.46,4099379.57,,,,,,,63.0,105.0,,,,
Falling Waters,WV,Hagerstown,Berkeley,249999.0,,,3982749.97,818430.02,,,,,,,47.0,36.0,,,,
Savannah,GA,Savannah,Chatham,64000.0,,,,3246789.07,,,,,,,,80.0,,,,
Tulsa,OK,Tulsa,Tulsa,79900.0,,,,,,,80731.12,,,,,,,,27.0,
Livingston,LA,Baton Rouge,Livingston,196650.0,,,193677976.1,23054563.55,,,,,,,163.0,131.0,,,,
Pikeville,NC,Goldsboro,Wayne,184900.0,,,129513448.6,22872327.9,,,20838474.27,60042.8,,,271.0,243.0,,,332.0,3.0
Marengo,IL,Chicago,McHenry,257450.0,,,2563631.78,,,,27020591.0,,,,88.0,,,,356.0,
Geneseo,IL,Davenport,Henry,185000.0,,,326819.49,,,,448342.19,,,,18.0,,,,34.0,
Hahira,GA,Valdosta,Lowndes,189000.0,,,172169402.5,,,,490191625.3,,,,405.0,,,,953.0,
Laurel,MT,Billings,Yellowstone,289900.0,,,,,,,1411374.1,,,,,,,,30.0,
Chula Vista,CA,San Diego,San Diego,828750.0,,81483289.38,,,,,,,,208.0,,,,,,
Eufaula,OK,McAlester,Pittsburg,160000.0,,,,261571.82,,,575979.22,,,,,13.0,,,59.0,
Craig,CO,Craig,Moffat,185000.0,,,,,,,,,,,,,,,,
Catskill,NY,,Greene,189900.0,,,751781.58,12122887.37,,,10381236.1,,,,28.0,120.0,,,179.0,
Seabrook,NH,Boston,Rockingham,453950.0,,,,,,,,,,,,,,,,
Ahoskie,NC,,Hertford,122500.0,,,,3119962.35,,,4021794.61,,,,,64.0,,,48.0,
Macedonia,OH,Akron,Summit,237450.0,,,,,,,,,,,,,,,,
Vinita,OK,,Craig,131200.0,,,,,,,62050.2,,,,,,,,10.0,
Peru,IL,Ottawa,La Salle,119900.0,,,9717013.25,,,,1158716.58,1575.44,,,75.0,,,,29.0,5.0
Cloverdale,CA,Santa Rosa,Sonoma,575000.0,,,,,,,,,,,,,,,,
Poquoson,VA,Virginia Beach,Poquoson City,331500.0,,,,,,,,,,,,,,,,
Port Isabel,TX,Brownsville,Cameron,220950.0,,,,27464278.84,,,388985.17,,,,,116.0,,,21.0,
Montgomery,AL,Montgomery,Montgomery,27250.0,,197137.33,17200351.36,29119687.45,,,12201556.48,,,8.0,177.0,304.0,,,161.0,
Watertown,WI,Watertown,Jefferson,170950.0,,,11159830.25,57240310.63,,,71507795.08,,,,115.0,141.0,,,652.0,
Lyons,GA,Vidalia,Toombs,127000.0,,,,,,,97735.56,,,,,,,,12.0,
Mc Farland,WI,Madison,Dane,396050.0,,,,,,,3614176.85,,,,,,,,71.0,
Friday Harbor,WA,,San Juan,659500.0,,,,,,,,,,,,,,,,
Agawam,MA,Springfield,Hampden,266200.0,,,,,,,,16221304.83,,,,,,,,50.0
Muldrow,OK,Fort Smith,Sequoyah,142500.0,,,,,,,,,,,,,,,,
Jacksonville,FL,Jacksonville,Duval,237990.0,,,,1299333.07,,,3632921.27,,,,,64.0,,,118.0,
Holmes Beach,FL,North Port-Sarasota-Bradenton,Manatee,669000.0,,,,513370.04,,,850004.52,,,,,16.0,,,37.0,
Ephrata,WA,Moses Lake,Grant,149500.0,,,217754.22,,,,15745202.55,377283.15,,,23.0,,,,213.0,10.0
Bandera,TX,San Antonio,Bandera,292245.0,,,,,,,53584.34,,,,,,,,8.0,
Edmond,OK,Oklahoma City,Oklahoma,347750.0,,762981.49,4506871.84,,,,13477075.65,6679355.49,,11.0,69.0,,,,262.0,116.0
Olyphant,PA,Scranton,Lackawanna,138900.0,,,,,,,,,,,,,,,,
Sandwich,IL,Chicago,DeKalb,204900.0,,,10840920.61,,,,26540947.49,1575.44,,,81.0,,,,284.0,5.0
New Palestine,IN,Indianapolis,Hancock,249000.0,,932702.19,2081293.84,14828204.87,,,59235458.3,,,4.0,39.0,113.0,,,570.0,
Keithville,LA,Shreveport,Caddo,189900.0,,,2819353.69,,,,,,,,33.0,,,,,
Surf City,NC,Wilmington,Pender,266900.0,,,,3937404.68,,,3374539.46,,,,,86.0,,,49.0,
California City,CA,Bakersfield,Kern,165000.0,,,,,,,,,,,,,,,,
Carrollton,OH,Canton,Carroll,113900.0,,,,941286.35,,,11759272.35,,,,,38.0,,,129.0,
White Lake,MI,Detroit,Oakland,310050.0,,,27288921.91,,,,,,,,147.0,,,,,
Bethlehem,GA,Atlanta,Barrow,203900.0,,,,,,,15945314.52,,,,,,,,115.0,
Waverly,IA,Waterloo,Bremer,189500.0,,,,,,,34456734.89,,,,,,,,99.0,
Saint Joseph,MO,St. Joseph,Buchanan,56000.0,,,3660754.56,,,,2198010.6,,,,14.0,,,,22.0,
Pismo Beach,CA,San Luis Obispo,San Luis Obispo,860000.0,,,,,,,,,,,,,,,,
Lawrence Park,PA,Erie,Erie,106450.0,,,,,,,1199053.13,,,,,,,,54.0,
Saint Peter,MN,Mankato,Nicollet,209700.0,,,,,,,,,,,,,,,,
Stuttgart,AR,,Arkansas,90000.0,,,11159830.25,57240310.63,,,75435580.71,,,,115.0,141.0,,,697.0,
Montecito,CA,Santa Maria-Santa Barbara,Santa Barbara,3850000.0,,7580635.62,,,,,,,,14.0,,,,,,
Gambrills,MD,Baltimore,Anne Arundel,459900.0,,,,,,,,,,,,,,,,
Bound Brook,NJ,New York,Somerset,269450.0,,,,118315094.4,,,30730901.7,,,,,661.0,,,379.0,
Destrehan,LA,New Orleans,Saint Charles,229000.0,,,,9192318.03,,,,,,,,104.0,,,,
Greene,PA,Chambersburg,Franklin,199500.0,,,5107396.91,3647066.76,,,13174673.73,,,,102.0,79.0,,,218.0,
Lecanto,FL,Homosassa Springs,Citrus,231000.0,,,,2037433.73,,,488281.97,,,,,22.0,,,22.0,
San Jacinto,CA,Riverside,Riverside,310000.0,,320645.73,,,,,,,,60.0,,,,,,
Charlton,MA,Worcester,Worcester,304900.0,,,,,,,1446700.0,1035000.0,,,,,,,41.0,5.0
Wichita,KS,Wichita,Sedgwick,271750.0,,,,,,,,,,,,,,,,
Tecumseh,OK,Shawnee,Pottawatomie,110000.0,,,,,,,2783758.4,4207747.4,,,,,,,32.0,17.0
Bethel,OH,Cincinnati,Clermont,135000.0,,,32272.4,,,,1793853.64,,,,6.0,,,,15.0,
Edgewater Park,NJ,Philadelphia,Burlington,119000.0,,,,8466623.49,,,603965.77,,,,,211.0,,,40.0,
Penn,PA,Harrisburg,Cumberland,199950.0,,,1121313.78,21531476.25,,,4408453.76,,,,28.0,197.0,,,78.0,
Oxford,GA,Atlanta,Newton,279000.0,,,29430450.44,808496.05,,,9482930.62,,,,41.0,45.0,,,155.0,
McCordsville,IN,Indianapolis,Hancock,296490.0,,,,5217692.2,,,12284860.58,,,,,59.0,,,178.0,
Gering,NE,Scottsbluff,Scotts Bluff,149950.0,,,,,,,,,,,,,,,,
Lumberton,NC,Lumberton,Robeson,149900.0,,,,21706290.4,,,1004016.93,,,,,102.0,,,25.0,
Ladue,MO,St. Louis,Saint Louis,1175000.0,,,2531794.04,,,,10705184.04,,,,105.0,,,,284.0,
Batesville,IN,,Ripley,160000.0,,,1721692.51,1963389.54,,,12924472.96,,,,19.0,65.0,,,208.0,
Dallas,TX,Dallas-Fort Worth,Dallas,189000.0,,,,,,,2753419.78,,,,,,,,128.0,
Centre,AL,,Cherokee,169000.0,,,63730.28,798868.54,,,4902553.47,,,,8.0,23.0,,,73.0,
Ridgefield Park,NJ,New York,Bergen,325000.0,,,,77003811.88,,,1725637.77,,,,,421.0,,,101.0,
Fort Hunt,VA,Washington,Fairfax,724900.0,,,,,,,,,,,,,,,,
Chanute,KS,,Neosho,78750.0,,,,1221316.23,,,5085177.74,,,,,40.0,,,102.0,
Chicago,IL,Chicago,Cook,124350.0,,,172169402.5,,,,487306063.1,,,,405.0,,,,935.0,
Winston-Salem,NC,Winston-Salem,Forsyth,215000.0,,,,,,,,,,,,,,,,
Stevensville,MT,,Ravalli,350000.0,,,,,,,,,,,,,,,,
New Market,AL,Huntsville,Madison,239900.0,,,117981.76,158602.07,,,24847361.56,,,,5.0,7.0,,,269.0,
Chandler,TX,Athens,Henderson,199000.0,,108994.83,226578.07,,,,8501503.58,,,3.0,29.0,,,,83.0,
Berkeley,CA,San Francisco,Alameda,1195000.0,,,,,,,,,,,,,,,,
Oakhurst,CA,Madera,Madera,307400.0,,,,,,,,,,,,,,,,
Hamburg,PA,Reading,Berks,133000.0,,,1154823.26,,,,,,,,67.0,,,,,
Bellmawr,NJ,Philadelphia,Camden,139900.0,,,290326.21,9720598.07,,,225769.48,,,,11.0,208.0,,,9.0,
New York,NY,New York,New York,925000.0,,,,24625132.25,,,,,,,,442.0,,,,
South Park,PA,Pittsburgh,Allegheny,176950.0,,,7217070.8,22131919.88,,,25202378.25,240346.92,,,39.0,172.0,,,356.0,6.0
Shallotte,NC,Myrtle Beach,Brunswick,230665.0,,,,360012.86,,,557842.59,,,,,39.0,,,27.0,
Salinas,CA,Salinas,Monterey,887250.0,,,,,,,,,,,,,,,,
Saint Francis,WI,Milwaukee,Milwaukee,139900.0,,,,,,,94339463.31,,,,,,,,268.0,
Grayling,MI,,Crawford,125900.0,,,304345.1,379938.47,,,4801176.39,,,,13.0,39.0,,,157.0,
 Skowhegan,ME,,Somerset,109900.0,,,,31053019.35,,,1361922.97,,,,,255.0,,,48.0,
Proctorville,OH,Huntington,Lawrence,185000.0,,,433329.3,,,,13541733.08,,,,17.0,,,,139.0,
Lucasville,OH,Portsmouth,Scioto,138950.0,,,35136.57,1567249.37,,,23609297.49,,,,4.0,19.0,,,186.0,
Topeka,KS,Topeka,Shawnee,74900.0,,,,,,,,,,,,,,,,
Grinnell,IA,,Poweshiek,159250.0,,,1215765.31,3455680.23,,,54334747.91,58806.31,,,30.0,58.0,,,176.0,2.0
Hopatcong,NJ,New York,Sussex,214500.0,,,,13319132.01,,,,,,,,137.0,,,,
 Stony Point,NY,New York,Rockland,419000.0,,,,21706178.43,,,,,,,,173.0,,,,
Omaha,NE,Omaha,Douglas,174950.0,,,870362.22,,,,12935951.29,377283.15,,,28.0,,,,132.0,10.0
Medway,MA,Boston,Norfolk,415000.0,,,,,,,17631869.82,,,,,,,,128.0,
Fairview,NJ,New York,Bergen,504000.0,,,,77003811.88,,,1725637.77,,,,,421.0,,,101.0,
Scottsboro,AL,Scottsboro,Jackson,219400.0,,,417494.94,8466487.89,,,24072553.82,,,,39.0,44.0,,,360.0,
Oxford,CT,New Haven,New Haven,389900.0,,,,32092297.16,,,827845.94,,,,,196.0,,,55.0,
Sorrento,FL,Orlando,Lake,344900.0,1009418.48,20128437.72,9628379.37,178470717.7,,,65561584.17,,22.0,157.0,105.0,315.0,,,372.0,
Waterford,NJ,Philadelphia,Camden,138450.0,,,290326.21,18187221.56,,,829735.25,,,,11.0,419.0,,,49.0,
Monmouth,OR,Salem,Polk,324900.0,,,90754.55,5648953.47,,,29753275.71,3678183.99,,,15.0,50.0,,,446.0,9.0
Lochbuie,CO,Greeley,Weld,338444.0,,,23227884.9,1683677.22,,,3991820.73,,,,138.0,14.0,,,83.0,
Browns Summit,NC,,Guilford,181245.0,,,,,,,,,,,,,,,,
Middleville,MI,Grand Rapids,Barry,244850.0,,,111853.73,,,,27791668.4,,,,13.0,,,,81.0,
Storm Lake,IA,Storm Lake,Buena Vista,158000.0,,,,,,,,,,,,,,,,
Belle Haven,VA,Washington,Fairfax,624900.0,,,,,,,,,,,,,,,,
Pittsgrove,NJ,Philadelphia,Salem,195000.0,,,1121313.78,26573545.81,,,4408453.76,,,,28.0,268.0,,,78.0,
Devils Lake,ND,,Ramsey,169500.0,,,176598.78,,,,376890.72,,,,12.0,,,,22.0,
Saint Robert,MO,Fort Leonard Wood,Pulaski,154900.0,,,245956.29,,,,10720940.86,,,,10.0,,,,189.0,
Stuarts Draft,VA,Staunton,Augusta,209900.0,,,,,,,,,,,,,,,,
Greenville,KY,,Muhlenberg,124450.0,,,,,,,1520842.67,,,,,,,,8.0,
Prince Frederick,MD,Washington,Calvert,399900.0,,,,,,,,,,,,,,,,
Metamora,IL,Peoria,Woodford,201900.0,,,1782472.59,,,,947665.01,21078601.92,,,43.0,,,,26.0,29.0
Amarillo,TX,Amarillo,Potter,145000.0,,,,,,,,,,,,,,,,
Sandersville,GA,,Washington,142450.0,,,7217070.8,27349612.08,,,45526297.55,240346.92,,,39.0,231.0,,,451.0,6.0
Prichard,AL,Mobile,Mobile,68000.0,,,,,,,10286689.59,,,,,,,,77.0,
 Sandwich,MA,Cape Cod,Barnstable,419900.0,,,,,,,,,,,,,,,,
Holtsville,NY,New York,Suffolk,315000.0,,,,457517483.1,,,4759863.64,,,,,752.0,,,120.0,
Sterling,VA,Washington,Loudoun,439000.0,,,,,,,,,,,,,,,,
Mountain Brook,AL,Birmingham,Jefferson,599900.0,,,11159830.25,57240310.63,,,68571322.18,,,,115.0,141.0,,,604.0,
Woodbridge,NJ,New York,Middlesex,265000.0,,,,87262075.0,,,29368978.73,,,,,406.0,,,331.0,
 Seneca Falls,NY,Seneca Falls,Seneca,144200.0,,,128761667.0,8660431.07,,,7840306.82,60042.8,,,243.0,80.0,,,116.0,3.0
Sayre,PA,Sayre,Bradford,142450.0,,,16017919.31,,,,1155159.8,,,,53.0,,,,22.0,
Chillicothe,IL,Peoria,Peoria,139900.0,,,4050092.23,,,,15580084.1,,,,62.0,,,,175.0,
Newland,NC,,Avery,195000.0,,,1758030.14,,,,2082343.69,,,,75.0,,,,181.0,
Pell City,AL,Birmingham,Saint Clair,174900.0,,,,,,,4410164.54,,,,,,,,38.0,
Madison,NC,,Rockingham,134900.0,,,,,,,,,,,,,,,,
Hiawassee,GA,,Towns,277950.0,,,5376184.95,45152081.86,,,12781035.95,,,,27.0,222.0,,,177.0,
Penfield,NY,Rochester,Monroe,219900.0,,,402440.53,773601.7,,,11701587.59,,,,47.0,43.0,,,177.0,
Duson,LA,Lafayette,Lafayette,169900.0,,,39859636.14,7412207.82,,,,,,,93.0,140.0,,,,
Hyattsville,MD,Washington,Prince Georges,305000.0,,,,,,,,,,,,,,,,
Titusville,PA,Meadville,Crawford,62500.0,,,4451075.61,5149596.72,,,7854212.24,,,,33.0,138.0,,,189.0,
Magnolia,DE,Dover,Kent,276450.0,,,,,,,27524161.59,,,,,,,,66.0,
Harrah,OK,Oklahoma City,Oklahoma,199950.0,,885091.49,723539.71,411382.82,,,14730604.32,11937494.81,,15.0,36.0,17.0,,,316.0,150.0
Oak Brook,IL,Chicago,Du Page,749000.0,,,196974554.9,,,,502657644.3,,,,500.0,,,,1101.0,
Walhalla,SC,Seneca,Oconee,169000.0,,,,,,,,,,,,,,,,
Orange,VA,,Orange,209999.0,4400893.86,5351166.91,6018069.62,178629319.7,,,26322964.05,,47.0,81.0,35.0,322.0,,,390.0,
Grants,NM,Grants,Cibola,118900.0,,,,,,,,,,,,,,,,
Morrow,OH,Cincinnati,Warren,239900.0,,,4146730.51,5149596.72,,,4495602.35,,,,20.0,138.0,,,77.0,
Sainte Genevieve,MO,,Sainte Genevieve,113450.0,,,96517.71,,,,,,,,7.0,,,,,
Cullowhee,NC,Cullowhee,Jackson,361950.0,,,132198.46,8466487.89,,,12972336.5,,,,22.0,44.0,,,231.0,
Leawood,KS,Kansas City,Johnson,600000.0,,,107764.77,,,,39635982.14,,,,4.0,,,,197.0,
Springfield,MO,Springfield,Greene,315000.0,,,751781.58,12122887.37,,,10381236.1,,,,28.0,120.0,,,179.0,
Fishers,IN,Indianapolis,Hamilton,393982.0,,,117981.76,5376294.27,,,37132222.14,,,,5.0,66.0,,,447.0,
Williston,VT,Burlington,Chittenden,376250.0,,,,580821.37,,,2274136.05,,,,,34.0,,,37.0,
Charleston,PA,,Tioga,177000.0,,,,,,,25461388.93,,,,,,,,38.0,
Mantua,NJ,Philadelphia,Gloucester,140900.0,,,,6795253.96,,,1628287.76,,,,,135.0,,,56.0,
Henderson,TX,Longview,Rusk,149900.0,,30200.0,,319116.91,,,366379.34,,,4.0,,23.0,,,10.0,
 Ware,MA,Springfield,Hampshire,154900.0,,,,,,,1446700.0,17256304.83,,,,,,,41.0,55.0
Struthers,OH,Youngstown,Mahoning,67700.0,,,,,,,,,,,,,,,,
Bowie,TX,,Montague,149900.0,,,9323212.22,,,,12680637.95,,,,54.0,,,,164.0,
Steelton,PA,Harrisburg,Dauphin,75450.0,,,24850311.24,,,,,,,,83.0,,,,,
Plano,IL,Chicago,Kendall,166525.0,,,1755152.98,,,,50605.19,,,,21.0,,,,3.0,
Fresno,CA,Fresno,Fresno,489950.0,,,,,,,,,,,,,,,,
Bryson City,NC,,Swain,257500.0,,,,,,,4581642.23,,,,,,,,26.0,
Estacada,OR,Portland,Clackamas,389980.0,,,,,,,,,,,,,,,,
Terre Haute,IN,Terre Haute,Vigo,52500.0,,,,,,,22043222.41,,,,,,,,46.0,
Golden Valley,AZ,Lake Havasu City,Mohave,119500.0,,,,,,,,,,,,,,,,
Brewer,ME,Bangor,Penobscot,139950.0,,,247962.76,,,,,,,,31.0,,,,,
Escalon,CA,Stockton,San Joaquin,399000.0,,,,,,,,,,,,,,,,
Cooper City,FL,Miami-Fort Lauderdale,Broward,950000.0,,,,,,,,,,,,,,,,
Plainfield,NJ,New York,Union,232400.0,,,5376184.95,76205101.21,,,5649413.4,,,,27.0,477.0,,,131.0,
Wellington,OH,Cleveland,Lorain,183500.0,,,,,,,53584.34,,,,,,,,8.0,
Western Springs,IL,Chicago,Cook,664000.0,,,172169402.5,,,,487306063.1,,,,405.0,,,,935.0,
Grand Junction,CO,Grand Junction,Mesa,287500.0,,,,,,,,,,,,,,,,
Damascus,MD,Washington,Montgomery,649950.0,,197137.33,17200351.36,29119687.45,,,12201556.48,,,8.0,177.0,304.0,,,161.0,
Bethalto,IL,St. Louis,Madison,139950.0,,,117981.76,158602.07,,,24847361.56,,,,5.0,7.0,,,269.0,
Lower Merion,PA,Philadelphia,Montgomery,414900.0,,197137.33,17200351.36,29119687.45,,,12201556.48,,,8.0,177.0,304.0,,,161.0,
Schiller Park,IL,Chicago,Cook,189900.0,,,172169402.5,,,,487306063.1,,,,405.0,,,,935.0,
 Pepperell,MA,Boston,Middlesex,317400.0,,,,87262075.0,,,29368978.73,,,,,406.0,,,331.0,
 Milton,WI,Janesville,Rock,229500.0,,,11159830.25,57240310.63,,,71974938.52,,,,115.0,141.0,,,630.0,
Harrison,NY,New York,Westchester,1624000.0,,,,15242232.98,,,,,,,,352.0,,,,
Bartonville,IL,Peoria,Peoria,105000.0,,,3764795.75,,,,1873694.73,,,,45.0,,,,31.0,
Raleigh,NC,Raleigh,Wake,495000.0,,,,500012.77,,,3101898.98,,,,,35.0,,,57.0,
Elkton,VA,Harrisonburg,Rockingham,246500.0,,,,,,,1041098.27,,,,,,,,13.0,
Las Vegas,NV,Las Vegas,Clark,353500.0,,,44330.81,,,,5038162.82,,,,2.0,,,,79.0,
Cold Springs,NV,Reno,Washoe,308995.0,,,,,,,,,,,,,,,,
Miller Place,NY,New York,Suffolk,499900.0,,,,457517483.1,,,4759863.64,,,,,752.0,,,120.0,
 Colonie,NY,Albany,Albany,411250.0,,,,3327914.17,,,,,,,,78.0,,,,
Walden,NY,New York,Orange,209900.0,1009418.48,5351166.91,5900087.86,192921831.9,,,1828589.91,,22.0,81.0,30.0,517.0,,,165.0,
Carterville,IL,Carbondale,Williamson,153400.0,,248002.7,132198.46,8466487.89,,,30417654.79,,,6.0,22.0,44.0,,,309.0,
York,ME,Portland,York,529005.5,,,9620798.43,,,,,,,,93.0,,,,,
Fort Lupton,CO,Greeley,Weld,350000.0,,,19842180.5,,,,2532512.26,,,,55.0,,,,33.0,
Boulder Creek,CA,Santa Cruz,Santa Cruz,549000.0,,,,,,,,,,,,,,,,
Salida,CA,Modesto,Stanislaus,335000.0,,,,,,,,,,,,,,,,
Lacombe,LA,New Orleans,Saint Tammany,149900.0,,,6576723.83,30898481.32,,,,,,,49.0,162.0,,,,
Montrose,CO,Montrose,Montrose,449999.0,,,,,,,,,,,,,,,,
